id;name;year;type;genres;episodes;rating;source;status
10808; Mobile_Suit_Gundam_AGE; 2012; TV; 0; 3; 6.59; Unknown; 1
573; Saber_Marionette_J; 1997; TV; 0; 2; 7.44; Original; 1
324; Mobile_Police_Patlabor__On_Television; 1990; TV; 0; 3; 7.71; Original; 1
1694; iDOLMSTER_Xenoglossia; 2007; TV; 0; 2; 6.65; Original; 1
2604; Sky_Girls; 2007; TV; 0; 2; 7.11; Unknown; 1
1678; Cyborg_009__The_Cyborg_Soldier; 2003; TV; 0; 3; 7.36; Manga; 1
554; Koutetsu_Tenshi_Kurumi; 2000; TV; 0; 2; 6.91; Original; 1
33371; Atom__The_Beginning; 2017; TV; 0; 2; 7.03; Manga; 1
21821; Fuuun_Ishin_Dai☆Shogun; 2014; TV; 0; 2; 5.81; Original; 1
2448; Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven; 2006; Special; 0; 1; 8.10; Unknown; 1
937; Appleseed; 1988; OVA; 0; 1; 6.77; Manga; 1
10029; Coquelicot-zaka_kara; 2011; Movie; 2; 1; 8.02; Manga; 1
5039; Kurozuka; 2008; TV; 2; 2; 7.06; Manga; 1
7472; Gintama_Movie_1__Shinyaku_Benizakura-hen; 2010; Movie; 2; 1; 8.58; Manga; 1
15417; Gintama__Enchousen; 2013; TV; 2; 2; 9.09; Manga; 1
7193; Aoi_Bungaku_Series; 2009; TV; 2; 2; 7.88; Novel; 1
957; Saiunkoku_Monogatari; 2007; TV; 2; 3; 8.05; Lightnovel; 1
5060; Hetalia_Axis_Powers; 2010; ONA; 2; 3; 7.73; Webmanga; 1
60; Chrno_Crusade; 2004; TV; 2; 2; 7.78; Manga; 1
2418; Stranger__Mukou_Hadan; 2007; Movie; 2; 1; 8.43; Original; 1
8476; Otome_Youkai_Zakuro; 2010; TV; 2; 2; 7.59; Manga; 1
32998; 91_Days; 2016; TV; 2; 2; 7.91; Original; 1
2966; Ookami_to_Koushinryou; 2008; TV; 2; 2; 8.36; Lightnovel; 1
205; Samurai_Champloo; 2005; TV; 2; 2; 8.50; Original; 1
6895; Hakuouki; 2010; TV; 2; 2; 7.55; Visualnovel; 1
8479; Hetalia_World_Series; 2011; ONA; 2; 3; 7.91; Webmanga; 1
1699; Romeo_x_Juliet; 2007; TV; 2; 2; 7.83; Other; 1
